Year	Zone	Date	Tow_number	Lat	Lon	Commercial_count	Commercial_weight	Commercial345_count	Commercial345__weight	Area_swept	Zone_date_tow	Depth	Temperature	grid	intended grid	Tow_quality	boat	primary_or_alternate	Station ID	minilog file	esonar file	Headline num	Tilt num	depth (fathoms)	females	males	total count
2015	Zone12	04/08/2015	6	47.107227	-63.16887	7	3.634480584	2	0.871459147	3091	Zone12-04/08/2015-6	62.1792	-0.7	AK14	AK14	3	JM	A1	125	bin6385.126	GP125A1	C8049GP125A1.019	H0615GP125A1.073	34	4	53	57
2015	Zone12	30/08/2015	7	47.06831	-63.0755	2	1.296381105	1	0.528748659	2847	Zone12-30/08/2015-7	56.6928		AK15	AK15	3	JM	A3	150		GP150A3	C8049GP150A3.123	H0661GP150A3.081	31	5	38	43
2015	Zone12	30/08/2015	3	47.09742	-62.877512	5	2.965883125	1	0.367240274	2759	Zone12-30/08/2015-3	60.3504	-0.4	AK16	AK16	1	JM	P	163	bin6385.226	GP163F	C8049GP163F.120	H0661GP163F.077	33	31	187	218
2015	Zone12	02/08/2015	8	47.015348	-62.688953	13	6.221419406	13	6.221419406	3022	Zone12-02/08/2015-8	67.6656	-0.6	AK17	AK17	1	JM	P	179	bin6385.104	GP179F	C8000GP179F.012	H0615GP179F.051	37	137	80	217
2015	Zone12	02/08/2015	7	47.059998	-62.605567	1	0.391869978	1	0.391869978	2208	Zone12-02/08/2015-7	65.8368	-0.7	AK18	AK18	1	JM	P	191	bin6385.103	GP191F	C8000GP191F.011	H0615GP191F.050	36	77	13	90
2015	Zone12	31/08/2015	1	47.098823	-62.405802	3	1.3749713	3	1.3749713	2474	Zone12-31/08/2015-1	60.3504	-0.4	AK19	AK19	1	JM	P	210	bin6387.005	GP210F	C8049GP210F.129	H0661GP210F.087	33	25	36	61
2015	Zone12	11/09/2015	3	47.042755	-62.119617	0	0	0	0	2285	Zone12-11/09/2015-3	49.3776	0.1	AK21	AK20	3	JM	A1	225	bin6387.052	GP225A1	C8049GP225A1.178	H0661GP225A1.264	27	20	50	70
2015	Zone12	11/09/2015	4	47.009243	-62.006355	1	1.050700185	0	0	2001	Zone12-11/09/2015-4	49.3776	0.4	AK21	AK21	1	JM	P	244	bin6387.053	GP244F	C8049GP244F.179	H0661GP244F.265	27	0	8	8
2015	Zone12	02/09/2015	3	47.006295	-61.873735	0	0	0	0	2009	Zone12-02/09/2015-3	42.0624	5.5	AK22	AK22	3	JM	A2	255	bin6387.011	GP255A2	C8049GP255A2.136	H0661GP255A2.222	23	0	0	0
2015	Zone12	09/10/2015	4	47.018063	-61.557279	0	0	0	0	2706	Zone12-09/10/2015-4	32.9184	4.7	AK24	AK24	2	JM	P	285	bin6387.154	GP285F	C8054GP285F.077	H0616GP285F.051	18	1	6	7
2015	Zone12	09/10/2015	2	47.008018	-61.377118	3	1.58771356	2	0.901258932	2211	Zone12-09/10/2015-2	45.72	0.6	AK25	AK25	1	JM	P	297	bin6387.152	GP297F	C8054GP297F.075	H0616GP297F.049	25	25	51	76
2015	Zone12	09/10/2015	1	47.043673	-61.15755	4	2.73172673	1	0.569249679	2989	Zone12-09/10/2015-1	58.5216	1.2	AK26	AK26	1	JM	P	307	bin6387.151	GP307F	C8054GP307F.074	H0616GP307F.048	32	30	15	45
2015	Zone19	07/10/2015	9	47.008563	-60.952082	4	2.380739903	1	0.685548693	2434	Zone19-07/10/2015-9	102.4128	2	AK27	AK27	1	JM	P	327	bin6387.148	GP327F	C8054GP327F.071	H0616GP327F.045	56	1	49	50
2015	Zone19	07/10/2015	10	47.007645	-60.891198	3	2.161236599	0	0	2761	Zone19-07/10/2015-10	113.3856	2.4	AK28	AK28	1	JM	P	332	bin6387.149	GP332F	C8054GP332F.072	H0616GP332F.046	62	0	55	55
2015	Zone19	06/10/2015	9	47.051238	-60.753163	1	0.648749436	0	0	2321	Zone19-06/10/2015-9	146.304	5	AK29	AK29	1	JM	P	340	bin6387.145	GP340F	C8054GP340F.061	H0616GP340F.035	80	5	21	26
2015	Zone19	06/10/2015	8	47.078722	-60.497373	7	3.198981647	7	3.198981647	2404	Zone19-06/10/2015-8	135.3312	4.9	AK30	AK30	1	JM	P	349	bin6387.144	GP349F	C8054GP349F.060	H0616GP349F.034	74	127	61	188
2015	Zone12	06/08/2015	1	47.19026	-64.242188	9	5.031993465	0	0	2464	Zone12-06/08/2015-1	42.0624	0.6	AL08	AL08	1	JM	P	24	bin6385.146	GP024F	C8049GP024F.039	H0615GP024F.093	23	40	57	97
